ax,ay,az,gx,gy,gz,label
0.43,0.19,-1.02,-4,-3,1,fall
0.41,0.21,-0.99,-10,-6,0,fall
0.43,0.23,-1.02,-11,-6,0,fall
0.42,0.23,-1.04,-7,-4,1,fall
0.42,0.23,-1.02,-5,-4,1,fall
0.42,0.23,-1.0,-5,-4,1,fall
0.41,0.24,-1.04,-6,-4,1,fall

1.01,-0.22,-0.04,-6,-4,1,fall
1.02,-0.2,-0.08,-4,-3,1,fall
1.01,-0.25,-0.24,-12,2,1,fall
0.98,-0.37,-0.11,-19,8,2,fall
0.95,-0.44,-0.03,-18,7,3,fall
0.95,-0.46,-0.12,-14,9,5,fall
0.92,-0.45,-0.2,-5,16,10,fall
0.9700001,-0.34,-0.08,4,26,7,fall
0.83,-0.25,0.19,7,24,6,fall
0.9,-0.44,0.2,11,22,6,fall
0.5,-0.28,0.23,20,10,5,fall
0.89,-0.2,0.22,14,11,1,fall
0.9700001,-0.68,0.08,24,21,3,fall
0.66,-0.37,0.2,37,21,1,fall
1.17,-0.05,0.49,52,24,-4,fall
0.82,-0.32,0.3,2,20,-4,fall
0.72,-0.29,0.13,-10,27,-3,fall
1.78,0.48,0.62,9,39,6,fall
0.31,0.22,0.27,-2,35,7,fall
0.63,0.04,0.82,46,28,13,fall
0.95,0.4,0.88,5,24,14,fall
1.66,0.16,0.88,43,46,17,fall
0.46,0.19,0.84,32,44,21,fall
0.71,0.39,0.61,72,54,21,fall
0.83,0.78,0.88,3,50,38,fall
0.16,0.06,1.06,-19,29,26,fall
0.16,0.12,0.87,32,30,24,fall
0.16,0.21,0.89,43,31,20,fall
-0.08,0.57,1.27,57,32,24,fall
0.05,0.66,0.92,1,11,34,fall
0.31,0.08,1.06,-46,-13,38,fall
-0.0,-0.18,1.06,-26,-11,32,fall
0.91,-0.25,0.46,23,9,17,fall
0.28,0.32,1.08,23,20,19,fall
0.18,0.19,0.94,-16,1,21,fall
0.02,0.33,1.0,-17,1,20,fall
0.09,0.06,0.87,-13,-8,13,fall
0.3,0.05,0.67,-9,-2,7,fall
0.15,0.07,0.79,-1,4,3,fall
0.02,0.16,1.14,3,-1,2,fall
0.26,0.11,0.81,-8,-6,0,fall
0.29,-0.11,1.18,-10,-3,-1,fall
0.17,0.02,0.93,-13,-6,-2,fall
0.19,0.04,0.89,-12,-5,-1,fall
0.18,-0.01,0.89,-9,-4,0,fall
0.16,-0.01,0.9,-5,-3,1,fall
0.18,0.01,0.92,-2,-3,2,fall
0.15,0.04,0.91,-3,-2,2,fall
0.17,0.05,0.9,-2,-3,1,fall
0.17,0.03,0.9,-6,-3,1,fall

0.74,-0.26,-0.03,-4,0,1,idle
0.98,-0.26,0.06,-5,-2,1,idle
0.89,-0.28,0.03,-5,-1,1,idle
0.9599999,-0.26,0.08,-4,-3,1,idle
0.9700001,-0.27,0.08,-5,-4,1,idle
0.9700001,-0.27,0.08,-6,-4,1,idle
0.9700001,-0.26,0.08,-5,-5,1,idle
0.9700001,-0.26,0.07,-4,-6,1,idle
0.98,-0.26,0.03,-4,-5,1,idle
0.98,-0.26,0.04,-5,-5,1,idle
0.98,-0.26,0.03,-6,-5,1,idle
0.98,-0.28,0.03,-5,-5,1,idle
0.98,-0.26,0.04,-4,-5,1,idle
0.98,-0.26,0.03,-4,-5,1,idle
0.98,-0.26,0.03,-7,-5,1,idle
0.99,-0.27,0.01,-6,-4,1,idle
0.99,-0.26,0.01,-3,-4,1,idle
0.98,-0.26,0.02,-5,-3,1,idle
0.98,-0.27,0.02,-5,-2,1,idle
0.98,-0.27,0.01,-4,-2,1,idle
0.98,-0.26,0.05,-4,-2,1,idle
0.98,-0.26,0.05,-5,-3,1,idle
0.98,-0.27,0.04,-4,-3,1,idle
0.99,-0.27,0.02,-4,-3,1,idle
0.98,-0.27,0.03,-5,-3,1,idle
0.98,-0.27,0.03,-4,-2,1,idle
0.98,-0.27,0.03,-5,-2,1,idle
0.98,-0.27,0.04,-4,-3,1,idle
0.98,-0.26,0.05,-5,-3,1,idle
0.98,-0.26,0.04,-5,-4,1,idle
0.98,-0.27,0.03,-5,-4,1,idle
0.99,-0.27,0.03,-5,-4,1,idle
0.98,-0.27,0.02,-5,-4,1,idle
0.98,-0.27,0.02,-5,-3,1,idle
0.98,-0.27,0.03,-4,-3,1,idle
0.99,-0.26,0.03,-4,-3,1,idle
0.98,-0.26,0.03,-5,-3,1,idle
0.98,-0.26,0.03,-5,-4,1,idle
0.98,-0.27,0.03,-5,-4,1,idle
0.99,-0.27,0.02,-5,-4,1,idle
0.98,-0.26,0.03,-4,-4,1,idle
0.99,-0.27,0.03,-5,-4,1,idle
0.99,-0.26,0.03,-5,-4,1,idle
0.98,-0.27,0.02,-5,-4,1,idle
0.99,-0.26,0.01,-5,-4,1,idle
0.99,-0.26,0.01,-5,-4,1,idle
0.98,-0.26,0.01,-4,-3,1,idle
0.99,-0.26,0.01,-4,-3,1,idle
0.98,-0.27,0.02,-5,-3,1,idle
0.98,-0.27,0.02,-4,-2,1,idle

0.99,-0.23,0.07,-3,-3,1,fall
0.99,-0.23,0.08,-5,-2,1,fall
0.98,-0.22,0.06,-5,-3,1,fall
0.98,-0.24,0.07,-5,-4,1,fall
0.98,-0.27,0.03,-7,-3,0,fall
0.95,-0.34,0.04,-15,-2,-1,fall
0.9599999,-0.4,0.07,-18,-1,-2,fall
0.94,-0.45,0.02,-11,1,0,fall
0.93,-0.46,-0.01,-5,3,-1,fall
0.89,-0.48,-0.01,3,6,0,fall
1.21,-0.33,0.03,8,8,5,fall
0.65,-0.39,0.02,7,6,0,fall
1.87,-0.3,0.45,15,8,3,fall
1.85,0.44,0.5,-8,-2,13,fall
0.48,-0.4,0.12,-56,-11,7,fall
0.38,-0.49,-0.18,-26,7,3,fall
0.76,-0.72,0.13,6,17,69,fall
2.0,-1.52,-0.98,-65,-26,6,fall
0.35,0.06,0.07,-47,-11,-43,fall
0.41,0.12,-0.36,46,40,-42,fall
1.66,-0.86,-0.4,25,59,23,fall
1.97,-0.95,0.9,37,52,18,fall
0.73,-0.53,0.27,41,47,12,fall
0.67,-0.37,0.35,66,56,16,fall
0.62,-0.18,0.46,54,58,11,fall
0.63,0.01,0.63,-28,49,-1,fall
0.49,-0.34,0.74,-4,54,3,fall
0.45,-0.18,0.8,2,46,4,fall
0.46,-0.2,0.84,-4,38,4,fall
0.28,-0.21,1.07,5,35,4,fall
0.34,-0.21,1.02,-4,19,2,fall
0.38,-0.14,0.88,-11,13,0,fall
0.33,-0.15,0.71,-6,19,4,fall
0.27,-0.17,0.73,-4,26,5,fall
0.7,-0.56,1.37,-8,29,2,fall
0.24,-0.0,0.91,-10,13,1,fall
0.13,-0.4,0.79,-3,-1,3,fall
0.14,-0.31,0.89,-14,-3,3,fall
0.18,-0.31,0.82,-10,-4,1,fall
0.21,-0.28,0.84,-3,-3,1,fall
